link,title,price,category,transaction_type,surface_area,num_bathrooms,num_bedrooms,gouvernement
https://www.tayara.tn/item/6759d9748729cead59eb3e9b/Terrains%20et%20Fermes/Sfax/Route_El_Afrane/_vendre_terrain_4004_m_R4_Route_El_Afrane_Km_8Titre_fonciersur_la_route_principale_premire_position_20757817/,À vendre terrain 4004 m² R+4 📍Route El Afrane Km 8 ✅Titre foncier sur la route principale (première position). ☎️20757817,N/A,Terrains et Fermes,N/A,N/A,N/A,N/A,Sfax
https://www.tayara.tn/item/6759d24f8729cead59eb389c/Maisons%20et%20Villas/Sfax/Route_TANIOUR/Villa_S5_Taniour_km_25/,Villa S+5 à Taniour km 2.5,550000,Maisons et Villas,À Vendre,833,2,5,Sfax
https://www.tayara.tn/item/6759a87f8729cead59eb17d7/Maisons%20et%20Villas/Sfax/Route_Tunis/Loue_villa_meuble_/,Loue villa meublée,4000,Maisons et Villas,À Louer,500,4,4,Sfax
https://www.tayara.tn/item/6759a2e7b5e4ab395e783639/Appartements/Sfax/Autres_Villes/appartement_a_louer/,appartement a louer,N/A,Appartements,À Vendre,110.0,1.0,3.0,Sfax
https://www.tayara.tn/item/67599cfdb5e4ab395e78310a/Maisons%20et%20Villas/Sfax/Route_TANIOUR/Maison_100m2_louer/,Maison 100m2 à louer,490,Maisons et Villas,À Louer,100,1,-2,Sfax
https://www.tayara.tn/item/675986f5b5e4ab395e781daf/Terrains%20et%20Fermes/Sfax/Route_El_Ain/2_lots_de_terrain_entre_Route_el_Ain_km_12_et_Manzel_chaker_km_115/,"2 lots de terrain entre Route el Ain km 12 et Manzel chaker km 11,5",76000,Terrains et Fermes,N/A,N/A,N/A,N/A,Sfax
https://www.tayara.tn/item/67598401b5e4ab395e781bac/Appartements/Sfax/Sfax_Ville/Appartement_louer/,Appartement à louer,N/A,Appartements,À Louer,80,1,3,Sfax
https://www.tayara.tn/item/675972a78729cead59eaea84/Terrains%20et%20Fermes/Sfax/Route_GREMDA/Terrain_vendre_/,Terrain à vendre,N/A,Terrains et Fermes,N/A,N/A,N/A,N/A,Sfax
https://www.tayara.tn/item/67596a7a8729cead59eae2ff/Appartements/Sfax/Route_TANIOUR/tage_villa_220m_/,étage villa 220m,N/A,Appartements,À Vendre,220,1,4,Sfax
https://www.tayara.tn/item/667fdd249b82ea14d256a397/Terrains%20et%20Fermes/Sfax/Route_Mehdia/_vendre_terrain_2950_m_Route_Mahdia_km_9/,À vendre terrain 2950 m² à Route Mahdia km 9,245000,Terrains et Fermes,N/A,,N/A,N/A,Sfax
https://www.tayara.tn/item/668cfc0f528ebd3c6212e8f8/Terrains%20et%20Fermes/Sfax/ROUTE_SALTANIA/_14_14_/,للبيع 14 مرجع بطريق سلطنية (حقونة) كم14 على البحر مباشرة,420000,Terrains et Fermes,N/A,N/A,N/A,N/A,Sfax
https://www.tayara.tn/item/668410149b82ea14d25c7d50/Terrains%20et%20Fermes/Sfax/Sfax/_vendre_terrain_1407_m_Route_Habena_km_9/,À vendre terrain 1407 m² à Route Habena km 9,260000,Terrains et Fermes,N/A,N/A,N/A,N/A,Sfax
https://www.tayara.tn/item/673f5fbd3c20a99fb555bcce/Terrains%20et%20Fermes/Sfax/Sfax/_1091_11_/,أرض للبيع 1091م² قصاص11 منزل شاكر في اتجاه طريق المطار,40000,Terrains et Fermes,N/A,N/A,N/A,N/A,Sfax
https://www.tayara.tn/item/672f7cde3c20a99fb54b4649/Terrains%20et%20Fermes/Sfax/Sfax/_vendre_terrain_avec_une_ancienne_maison_1130m_Route_sidi_Mansour_km_7/,À vendre terrain avec une ancienne maison 1130m² à Route sidi Mansour km 7,360000,Terrains et Fermes,N/A,N/A,N/A,N/A,Sfax
https://www.tayara.tn/item/673f5fbd3c20a99fb555bcce/Terrains%20et%20Fermes/Sfax/Sfax/_1091_11_/,أرض للبيع 1091م² قصاص11 منزل شاكر في اتجاه طريق المطار,40000,Terrains et Fermes,N/A,N/A,N/A,N/A,Sfax
https://www.tayara.tn/item/67593e3c8729cead59eac1e7/Appartements/Sfax/Route_SOKRA/Appartement_S3_Route_Soukra_Sfax/,Appartement S+3 Route Soukra Sfax,700,Appartements,À Louer,115,1,4,Sfax
https://www.tayara.tn/item/6758a4798729cead59ea937e/Terrains%20et%20Fermes/Sfax/Route_TANIOUR/terrain_/,terrain,100,Terrains et Fermes,N/A,N/A,N/A,N/A,Sfax
https://www.tayara.tn/item/6758a1f78729cead59ea912d/Appartements/Sfax/Route_GREMDA/Appartenant_s2_110m2/,Appartenant s+2 110m2,450,Appartements,À Louer,110,1,2,Sfax
https://www.tayara.tn/item/675892b7b5e4ab395e77a659/Terrains%20et%20Fermes/Sfax/Kerkennah/Terrain_a_vendre_/,Terrain a vendre,N/A,Terrains et Fermes,N/A,N/A,N/A,N/A,Sfax
https://www.tayara.tn/item/66b09d2b37137099bb81aea0/Terrains%20et%20Fermes/Sfax/Autres_Villes/_vendre_terrain_903m_Chaffar700m_de_nadhour_/,À vendre terrain 903m²à Chaffar👉700m de nadhour (ناظور),90300,Terrains et Fermes,N/A,N/A,N/A,N/A,Sfax
https://www.tayara.tn/item/66b0b24c37137099bb81e2df/Magasins%2C%20Commerces%20et%20Locaux%20industriels/Sfax/Sfax/_vendre_local_commercial_95m12m_jardin_Bouzayen_sur_la_route_principale/,"À vendre local commercial 95m²+12m² jardin à Bouzayen, sur la route principale",800000,"Magasins, Commerces et Locaux industriels",À Vendre,95,0,1,Sfax
https://www.tayara.tn/item/6687fd54c9e5aa09739f4393/Magasins%2C%20Commerces%20et%20Locaux%20industriels/Sfax/Route_Mehdia/Local_commercial_vendre_61_m_Route_mahdia_km_2_bosten/,"Local commercial à vendre 61 m² Route mahdia km 2 ,bosten",235000,"Magasins, Commerces et Locaux industriels",À Vendre,61,1,1,Sfax
https://www.tayara.tn/item/6692878fb2871d2d8db460fa/Terrains%20et%20Fermes/Sfax/Sfax/_vendre_terrain_487_m_teboulbi_km_5/,à vendre terrain 487 m² à teboulbi km 5,150000,Terrains et Fermes,N/A,N/A,N/A,N/A,Sfax
https://www.tayara.tn/item/66e9708d67b755ba9228df6d/Magasins%2C%20Commerces%20et%20Locaux%20industriels/Sfax/Route_de_GABES/_louer_usine_5779m_titre_foncier_Route_gabes_km_6/,À louer usine 5779m² titre foncier à Route gabes km 6,16500,"Magasins, Commerces et Locaux industriels",À Louer,5779,3,1,Sfax
https://www.tayara.tn/item/670a6dab4fca0ca2a8a6159a/Maisons%20et%20Villas/Sfax/Route_Soukra/_vendre_2_maisons_indpendantes_Route_Soukra_km_4_derrire_ISSEPS_/,"À vendre 2 maisons indépendantes à Route Soukra km 4, derrière ISSEPS",350000,Maisons et Villas,À Vendre,371,1,3,Sfax
https://www.tayara.tn/item/675869238729cead59ea5db1/Appartements/Sfax/Route_Mehdia/Appartement_S3_1_re_tage_a_louer_route_mahdia_km6/,Appartement (S+3) 1 ère étage a louer à route mahdia km6,630,Appartements,N/A,N/A,N/A,3,Sfax
https://www.tayara.tn/item/67585e8bb5e4ab395e7777e8/Magasins%2C%20Commerces%20et%20Locaux%20industriels/Sfax/Route_Tunis/_/,مستودع دبو (قراج) للكراء,N/A,"Magasins, Commerces et Locaux industriels",À Louer,N/A,N/A,N/A,Sfax
https://www.tayara.tn/item/67585d0ab5e4ab395e777677/Terrains%20et%20Fermes/Sfax/Route_Tunis/_/,أرض للبيع,N/A,Terrains et Fermes,N/A,N/A,N/A,N/A,Sfax
